PlayerSeasonID,Season,PlayerID,Name,WorldGolfRank,WorldGolfRankLastWeek,Events,AveragePoints,TotalPoints,PointsLost,PointsGained
11026,2025,40004700,Pierceson Coody,54.0,54.0,29,0.4,40.7,-16.7,38.5
10990,2025,40005038,Steven Fisk,54.0,53.0,25,0.4,36.6,-15.9,30.8
10991,2025,40003478,Sami Valimaki,55.0,67.0,29,0.4,40.4,-23.0,40.1
10980,2025,40004527,Mac Meissner,55.0,54.0,26,0.4,37.8,-17.3,32.0
10947,2025,40003373,Keita Nakajima,56.0,56.0,25,0.4,36.0,-23.9,32.2
10905,2025,40002547,Erik Van Rooyen,56.0,55.0,30,0.4,38.4,-35.8,33.8
10992,2025,40004823,Joe Highsmith,57.0,56.0,29,0.4,38.2,-22.1,39.9
10887,2025,40002026,Eric Cole,58.0,60.0,34,0.4,37.2,-45.4,32.2
10865,2025,40003612,Austin Eckroat,58.0,57.0,28,0.4,36.7,-42.6,17.3
10912,2025,40003541,Max McGreevy,59.0,59.0,31,0.4,36.0,-25.0,23.6
10998,2025,40005227,William Mouw,59.0,58.0,23,0.4,30.4,-12.2,25.7
11091,2025,40002167,Joakim Lagergren,60.0,58.0,26,0.4,32.7,-8.3,29.4
10930,2025,40000657,Mark Hubbard,60.0,59.0,31,0.4,35.2,-28.5,31.0
10928,2025,40003465,Vince Whaley,61.0,62.0,29,0.4,35.0,-18.9,27.3
11154,2025,40003084,Kazuki Higa,61.0,60.0,33,0.4,35.0,-8.7,32.3
11431,2025,40003722,Chandler Blanchet,62.0,61.0,24,0.3,29.6,-4.4,29.9
11030,2025,40001594,Gary Woodland,62.0,61.0,25,0.3,30.8,-16.7,31.8
10921,2025,40001232,Patrick Rodgers,63.0,69.0,34,0.3,34.1,-31.1,31.0
10954,2025,40002536,Shaun Norris,63.0,62.0,31,0.3,33.6,-18.6,23.4
10908,2025,40002711,Victor Perez,64.0,64.0,28,0.3,33.5,-27.9,23.3
10910,2025,40000647,Beau Hossler,64.0,66.0,28,0.3,33.5,-30.8,25.6
10881,2025,40002474,Cam Davis,65.0,63.0,26,0.3,31.2,-42.8,20.5
10926,2025,40004833,Ryo Hisatsune,66.0,64.0,33,0.3,32.9,-30.1,29.8
10946,2025,40003655,Patrick Fishburn,66.0,66.0,28,0.3,32.3,-20.4,23.1
10927,2025,40001680,Keith Mitchell,67.0,63.0,27,0.3,31.6,-27.1,26.1
10902,2025,40002644,Joaquin Niemann,67.0,65.0,10,0.3,24.7,-22.1,13.7
11155,2025,40002629,Austin Smotherman,68.0,68.0,27,0.3,31.3,-11.7,31.8
10871,2025,40000638,Max Homa,68.0,68.0,26,0.3,29.3,-44.8,21.0
10952,2025,40000014,Matt Kuchar,69.0,70.0,22,0.3,25.5,-21.9,19.3
10969,2025,40002913,Takumi Kanaya,69.0,67.0,32,0.3,30.9,-21.2,24.8
11017,2025,40005438,Angel Ayora,70.0,74.0,31,0.3,30.3,-8.9,24.3
11176,2025,40005419,Martin Couvra,70.0,72.0,29,0.3,30.2,-9.9,31.7
10862,2025,40004698,Nick Dunlap,71.0,76.0,26,0.3,28.4,-35.7,12.9
11009,2025,40002645,Alex Smalley,71.0,69.0,29,0.3,30.1,-20.5,30.3
10981,2025,40000868,David Lipsky,72.0,73.0,29,0.3,30.0,-15.8,21.3
11033,2025,40004384,Elvis Smylie,72.0,71.0,22,0.3,23.8,-7.0,16.7
10936,2025,40004334,Jesper Svensson,73.0,70.0,29,0.3,29.5,-24.7,22.1
11073,2025,40005626,Karl Vilips,74.0,71.0,17,0.3,22.6,-10.7,21.1
11062,2025,40004304,Kevin Roy,74.0,72.0,28,0.3,29.4,-14.3,27.1
10941,2025,40000887,Justin Lower,75.0,75.0,30,0.3,28.4,-23.3,20.8
11296,2025,40003417,Christo Lamprecht,75.0,74.0,21,0.3,21.8,-5.1,21.2
11020,2025,40001402,Andy Sullivan,76.0,82.0,32,0.3,28.2,-13.2,22.3
10942,2025,40005256,Kensei Hirata,76.0,75.0,32,0.3,28.0,-21.5,19.1
10911,2025,40002348,Taylor Moore,77.0,76.0,28,0.3,27.8,-32.3,22.3
11293,2025,40005485,Emilio Gonzalez,77.0,77.0,30,0.3,27.0,-6.2,27.0
11156,2025,40003639,Eugenio Lopez-Chacarra,78.0,78.0,19,0.3,20.8,-8.7,20.9
10923,2025,40002773,Niklas Norgaard Moller,78.0,77.0,28,0.3,26.9,-22.6,15.5
