lastName,firstName,playerId,isAmateur,courseId,status,position,total,currentRoundScore,totalStrokesFromCompletedRounds,currentHole,startingHole,roundComplete,rounds,thru,currentRound,teeTime,teeTimeTimestamp,tournament_name,fetched_at
Lee,Tain,37187,False,927,complete,T150,+19,+6,299,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+4', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+8', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},8:50am,{'$date': {'$numberLong': '1734270600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
McShea,Blake,58944,False,927,complete,T150,+19,+4,299,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+10', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '80'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:10am,{'$date': {'$numberLong': '1734271800000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
McNeill,Callum,56353,False,927,complete,152,+21,-4,301,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+6', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+9', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '79'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+10', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '80'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '-4', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '66'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:50am,{'$date': {'$numberLong': '1734274200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Bergeron,Jacob,55411,False,927,complete,153,+24,+6,304,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+13', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '83'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '73'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:50am,{'$date': {'$numberLong': '1734274200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Bauchou,Zach,48001,False,922,wd,WD,-,-,75,{'$numberInt': '1'},{'$numberInt': '1'},False,"[{'scoreToPar': '+5', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '75'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Laird,Martin,27936,False,927,wd,WD,-,-,150,{'$numberInt': '1'},{'$numberInt': '1'},False,"[{'scoreToPar': '+2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+8', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Higgo,Garrick,54421,False,922,wd,WD,-,-,150,{'$numberInt': '10'},{'$numberInt': '10'},False,"[{'scoreToPar': '+4', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '74'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '76'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Ortiz,Alvaro,39262,False,927,wd,WD,-,-,151,{'$numberInt': '10'},{'$numberInt': '10'},False,"[{'scoreToPar': '+5', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '75'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Barnes,Erik,34374,False,927,wd,WD,-,-,159,{'$numberInt': '10'},{'$numberInt': '10'},False,"[{'scoreToPar': '+7', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '77'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+12', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '82'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Bennett,Sam,59652,False,922,wd,WD,-,-,150,{'$numberInt': '10'},{'$numberInt': '10'},False,"[{'scoreToPar': '+4', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '74'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '76'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",-,{'$numberInt': '1'},,,PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
